
Code;Text
MC05AX05;tribenoside
MC05AX06;phenylephrine
MC05B;antivaricose therapy
MC05BA;heparins or heparinoids for local use
MC05BA01;organo-heparinoid
MC05BA02;sodium apolate
MC05BA03;heparin
MC05BA04;pentosan polysulfate sodium
MC05BA51;heparinoid, comb.
MC05BA53;heparin, combinations
MC05BB;sclerosing agents for local injection
MC05BB01;monoethanolaminoleate
MC05BB02;polidocanol
MC05BB03;invertose
MC05BB04;sodium tetradecyl sulfate
MC05BB05;phenol
MC05BB56;glucose, comb.
MC05BX;other sclerosing agents
MC05BX01;calcium dobesilate
MC05BX51;calcium dobesilate, combinations
MC05C;capillary stabilizers
MC05CA;bioflavonoids
MC05CA01;rutoside
MC05CA02;monoxerutin
MC05CA03;diosmin
MC05CA04;troxerutin
MC05CA05;hidrosmin
MC05CA51;rutoside, combinations
MC05CA53;diosmin, combinations
MC05CA54;troxerutin, combinations
MC05CX;other capillary stabilizers
MC05CX01;tribenoside
MC05CX02;naphthazone
MC05CX03;horse chestnut seeds
MC05X;other vasoprotectants
MC05XX;other vasoprotectants
MC05XX01;beperminogenic perplasmid
MC07;beta-blockers
MC07A;beta-blocking agents, uncompounded
MC07AA;beta-blocking agents, uncompounded, non-selective.
MC07AA01;alprenolol
MC07AA02;oxprenolol
MC07AA03;pindolol
MC07AA05;propranolol
MC07AA06;timolol
MC07AA07;sotalol
MC07AA12;nadolol
MC07AA14;mepindolol
MC07AA15;carteolol
MC07AA16;tertatolol
MC07AA17;bopindolol
MC07AA19;bupranolol
MC07AA23;penbutolol
MC07AA27;cloranolol
MC07AB;beta-blocking agents, uncompounded, selective
MC07AB01;practolol
MC07AB02;metoprolol
MC07AB03;atenolol
MC07AB04;acebutolol
MC07AB05;betaxolol
MC07AB06;bevantolol
MC07AB07;bisoprolol
MC07AB08;celiprolol
MC07AB09;esmolol
MC07AB10;epanolol
MC07AB11;s-atenolol
MC07AB12;nebivolol
MC07AB13;talinolol
MC07AB14;landiolol
MC07AG;alpha and beta-blocking agents
MC07AG01;labetalol
MC07AG02;carvedilol
MC07B;beta-blockers and thiazides
MC07BA;beta-blockers, non-selective and thiazides
MC07BA02;oxprenolol and thiazides
MC07BA05;propranolol and thiazides
MC07BA06;timolol and thiazides
MC07BA07;sotalol and thiazides
MC07BA12;nadolol and thiazides
MC07BA68;metipranolol and thiazides, comb.
MC07BB;beta-blockers, selective, and thiazides
MC07BB02;metoprolol and thiazides
MC07BB03;atenolol and thiazides
MC07BB04;acebutolol and thiazides
MC07BB06;bevantolol and thiazides
MC07BB07;bisoprolol and thiazides
MC07BB12;nebivolol and thiazides
MC07BB52;metoprolol and thiazides, comb.
MC07BG;alpha and beta blockers and thiazides
MC07BG01;labetalol and thiazides
MC07C;beta blockers and other diuretics
MC07CA;beta-blockers, non-selective, and other diuretics
MC07CA02;oxprenolol and other diuretics
MC07CA03;pindolol and other diuretics
MC07CA17;bopindolol and other diuretics
MC07CA23;penbutolol and other diuretics
MC07CB;beta-blockers, selective, and other diuretics
MC07CB02;metoprolol and other diuretics
MC07CB03;atenolol and other diuretics
MC07CB53;atenolol and other diuretics, combinations
MC07CG;alpha and beta blockers and other diuretics
MC07CG01;labetalol and other diuretics
MC07D;beta blockers, thiazides and other diuretics
MC07DA;beta-blocker. non-selective, thiazides+other diuretics.
MC07DA06;timolol, thiazides and other diuretics
MC07DB;beta-blockers, selective, thiazides and other diuretics
MC07DB01;atenolol, thiazides and other diuretics
MC07E;beta blockers and vasodilators
MC07EA;beta-blockers, non-selective, and vasodilators
MC07EB;beta-blockers, selective, and vasodilators
MC07F;beta-blockers, other combinations
MC07FB;beta-blockers and calcium channel blockers
MC07FB02;metoprolol and felodipine
MC07FB03;atenolol and nifedipine
MC07FB07;bisoprolol and amlodipine
MC07FB12;nevibolol and amlodipine
MC07FB13;metoprolol and amlodipine
MC07FX;beta-blockers, other combinations
MC07FX01;propranolol and other combinations
MC07FX02;sotalol and acetylsalicylic acid
MC07FX03;metoprolol and acetylsalicylic acid
MC07FX04;bisoprolol and acetylsalicylic acid
MC07FX05;metoprolol and ivabradine
MC07FX06;carvedilol and ivabradine
MC08;calcium antagonists
MC08C;selective calcium antagonists with vascular effects
MC08CA;dihydropyridine derivatives
MC08CA01;amlodipine
MC08CA02;felodipine
MC08CA03;isradipine
MC08CA04;nicardipine
MC08CA05;nifedipine
MC08CA06;nimodipine
MC08CA07;nisoldipine
MC08CA08;nitrendipine
MC08CA09;lacidipine
MC08CA10;nilvadipine
MC08CA11;manidipine
MC08CA12;barnidipin
MC08CA13;lercanidipine
MC08CA14;cilnidipine
MC08CA15;benidipine
MC08CA16;clevidipine
MC08CA17;levamlodipine
MC08CA51;amlodipine and celecoxib
MC08CA55;nifedipine, combinations
MC08CX;other selective calcium antagonists with primarily vascular effect
MC08CX01;mibefradil
MC08D;selective calcium antagonists with direct cardiac effect
MC08DA;phenylalkylamine derivatives
MC08DA01;verapamil
MC08DA02;gallopamil
MC08DA03;etripamil
MC08DA51;verapamil, combinations
MC08DB;benzothiazepine derivatives
MC08DB01;diltiazem
MC08E;non-selective calcium antagonists
MC08EA;phenylalkylamine derivatives
MC08EA01;fendiline
MC08EA02;bepridil
MC08EX;other non-selective calcium antagonists
MC08EX01;lidoflazine
MC08EX02;perhexiline
MC08G;calcium antagonists and diuretics
MC08GA;calcium antagonists and diuretics
MC08GA01;nifedipine and diuretics
MC08GA02;amlodipine and diuretics
MC09;agents acting on the renin-angiotensin system
MC09A;ACE inhibitors, uncompounded
MC09AA;ACE inhibitors, uncompounded
MC09AA01;captopril
MC09AA02;enalapril
MC09AA03;lisinopril
MC09AA04;perindopril
MC09AA05;ramipril
MC09AA06;quinapril
MC09AA07;benazepril
MC09AA08;cilazapril
MC09AA09;fosinopril
MC09AA10;trandolapril
MC09AA11;spirapril
MC09AA12;April
MC09AA13;moexipril
MC09AA14;temocapril
MC09AA15;zofenopril
MC09AA16;imidapril
MC09B;ACE inhibitors, combinations
MC09BA;ACE inhibitors and diuretics
MC09BA01;captopril and diuretics
MC09BA02;enalapril and diuretics
MC09BA03;lisinopril and diuretics
MC09BA04;perindopril and diuretics
MC09BA05;ramipril and diuretics
MC09BA06;quinapril and diuretics
MC09BA07;benazepril and diuretics
MC09BA08;cilazapril and diuretics
MC09BA09;fosinopril and diuretics
MC09BA12;delapril and diuretics
MC09BA13;moexepril and diuretics
MC09BA15;zofenopril and diuretics
MC09BB;ACE inhibitors and calcium channel blockers
MC09BB02;enalapril and lercanidipine
MC09BB03;lisinopril and amlodipine
MC09BB04;perindopril and amlodipine
MC09BB05;ramipril and felodipine
MC09BB06;enalapril and nitrendipine
MC09BB07;ramipril and amlodipine
MC09BB10;trandolapril and verapamil
MC09BB12;delapril and manidipine
MC09BB13;benazepril and amlodipine
MC09BB14;zofenopril and amlodipine
MC09BX;ace inhibitors, other combinations
MC09BX01;perindopril, amlodipine and indapamide
MC09BX02;perindopril and bisoprolol
MC09BX03;ramipril, amlodipine and hydrochlorothiazide
MC09BX04;perindopril, bisoprolol and amlodipine
MC09BX05;ramipril and bisoprolol
MC09BX06;perindopril, bisoprolol, amlodipine and indapamide
MC09BX07;zofenopril and nebivolol
MC09C;angiotensin II receptor blockers (ARBS), uncompounded
MC09CA;angiotensin II receptor blockers (ARBS), uncompounded
MC09CA01;losartan
MC09CA02;eprosartan
MC09CA03;valsartan
MC09CA04;irbesartan
MC09CA05;tasosartan
MC09CA06;candesartan
MC09CA07;telmisartan
MC09CA08;olmesartan medoxomil
MC09CA09;azilsartan medoxomil
MC09CA10;fimasartan
MC09D;angiotensin II receptor blockers (ARBS), combinations
MC09DA;angiotensin II receptor blockers (ARBS) and diuretics
MC09DA01;losartan and diuretics
MC09DA02;eprosartan and diuretics
MC09DA03;valsartan and diuretics
MC09DA04;irbesartan and diuretics
MC09DA06;candesartan and diuretics
MC09DA07;telmisartan and diuretics
MC09DA08;olmesartan medoxomil and diuretics
MC09DA09;azilsartan medoxomil and diuretics
MC09DA10;fimasartan and diuretics
MC09DB;angiotensin II receptor blockers (ARBS) and calcium antagonists (CCB)
MC09DB01;valsartan and amlodipine
MC09DB02;olmesartan medoxomil and amlodipine
MC09DB04;telmisartan and amlodipine
MC09DB05;irbesartan and amlodipine
MC09DB06;losartan and amlodipine
MC09DB07;candesartan and amlodipine
MC09DB08;valsartan and lercanidipine
MC09DB09;fimasartan and amlodipine
MC09DX;angiotensin II receptor blockers (arbs), other combinations
MC09DX01;valsartan, amlodipine and hydrochlorothiazide
MC09DX02;valsartan and aliskiren
MC09DX03;olmesartan medoxomil, amlodipine and hydrochlorothiazide
MC09DX04;valsartan and sacubitril
MC09DX05;valsartan and nebivolol
MC09DX06;candesartan, amlodipine and hydrochlorothiazide
MC09DX07;irbesartan, amlodipine and hydrochlorothiazide
MC09DX08;telmisartan, amlodipine and hydrochlorothiazide
MC09X;other agents with effects on the renin-angiotensin system
MC09XA;renin inhibitors
MC09XA01;the remixer
MC09XA02;aliskiren
MC09XA52;aliskiren and hydrochlorothiazide
MC09XA53;aliskiren and amlodipine
MC09XA54;aliskiren, amlodipine and hydrochlorothiazide
MC09XX;other agents acting on the renin-angiotensin system
MC09XX01;sparsentan
MC10;lipid-modifying agents
MC10A;lipid-modifying agents, uncompounded
MC10AA;HMG COA reductase inhibitors
MC10AA01;simvastatin
MC10AA02;lovastatin
MC10AA03;pravastatin
MC10AA04;fluvastatin
MC10AA05;atorvastatin
MC10AA06;cerivastatin
MC10AA07;rosuvastatin
MC10AA08;pitavastatin
MC10AB;fibrates
MC10AB01;clofibrate
MC10AB02;bezafibrate
MC10AB03;aluminum clofibrate
MC10AB04;gemfibrozil
MC10AB05;fenofibrate
MC10AB06;simfibrate
MC10AB07;ronifibrate
MC10AB08;ciprofibrate
MC10AB09;etofibrate
MC10AB10;clofibride
MC10AB11;choline fenofibrate
MC10AB12;pemafibrate
MC10AC;bile acid sequestrants
MC10AC01;cholestyramine
MC10AC02;colestipol
MC10AC03;colextran
MC10AC04;colesevelam
MC10AD;nicotinic acid and derivatives
MC10AD01;niceritrol
MC10AD02;nicotinic acid
MC10AD03;nicofuranose
MC10AD04;aluminum nicotinate
MC10AD05;nicotinyl alcohol (pyridylcarbinol)
MC10AD06;acipimox
MC10AD52;nicotinic acid, combinations
MC10AX;other lipid-modifying agents
MC10AX01; dextrothyroxine
MC10AX02;probucol
MC10AX03;tiadenol
MC10AX05;meglutol
MC10AX06;omega-3 triglycerides including other esters and acids
MC10AX07;magnesium pyridoxal 5-phosphate glutamate
MC10AX08;policosanol
MC10AX09;ezetimibe
MC10AX10;alipogen tiparvovec
MC10AX11;mipomersene
MC10AX12;lomitapide
MC10AX13;evolocumab
MC10AX14;alirocumab
MC10AX15;bempedoic acid
MC10AX16;inclisiran
MC10AX17;evinacumab
MC10AX18;volanesorsen
MC10B;lipid-modifying agents, comb.
MC10BA;lipid-modifying agents, combinations
MC10BA01;lovastatin and nicotinic acid
MC10BA02;simvastatin and ezetimibe
MC10BA03;pravastatin and fenofibrate
MC10BA04;simvastatin and fenofibrate
MC10BA05;atorvastatin and ezetimibe
MC10BA06;rosuvastatin and ezetimibe
MC10BA07;rosuvastatin and omega-3 fatty acids
MC10BA08;atorvastatin and omega-3 fatty acids
MC10BA09;rosuvastatin and fenofibrate
MC10BA10;bempedoic acid and ezetimibe
MC10BA11;pravastatin and ezetimibe
MC10BA12;pravastatin, ezetimibe and fenofibrate
MC10BA13;pitavastatin and ezetimibe
MC10BA14;pitavastatin and fenofibrate
MC10BX;lipid-modifying agents in combination with other drugs
MC10BX01;simvastatin and acetylsalicylic acid
MC10BX02;pravastatin and acetylsalicylic acid
MC10BX03;atorvastatin and amlodipine
MC10BX04;simvastatin, acetylsalicylic acid and ramipril
MC10BX05;rosuvastatin and acetylsalicylic acid
MC10BX06;atorvastatin, acetylsalicylic acid and ramipril
MC10BX07;rosuvastatin, amlodipine and lisinopril
MC10BX08;atorvastatin and acetylsalicylic acid
MC10BX09;rosuvastatin and amlodipine
MC10BX10;rosuvastatin and valsartan
MC10BX11;atorvastatin, amlodipine and perindopril
MC10BX12;atorvastatin, acetylsalicylic acid and perindopril
MC10BX13;rosuvastatin, perindopril and indapamide
MC10BX14;rosuvastatin, amlodipine and perindopril
MC10BX15;atorvastatin and perindopril
MC10BX16;rosuvastatin and fimasartan
MC10BX17;rosuvastatin and ramipril
MC10BX18;atorvastatin, amlodipine and ramipril
MC10BX19;atorvastatin, amlodipine and candesartan
MC10BX20;rosuvastatin and telmisartan
MC10BX21;rosuvastatin and perindopril
MC10BX22;rosuvastatin and nebivolol
MC10BX23;rosuvastatin, amlodipine and ramipril
MC10BX24;rosuvastatin, amlodipine and telmisartan
MD;Dermatological agents
MD01;fungicides for dermatological use
MD01A;fungicides for external use
MD01AA;antibiotics
MD01AA01;nystatin
MD01AA02;natamycin
MD01AA03;hachimycin
MD01AA04;pecilocin
MD01AA06;mepartricin
MD01AA07;pyrrolnitrin
MD01AA08;griseofulvin
MD01AA20;antibiotics in combination with corticosteroids
MD01AC;imidazole and triazole derivatives
MD01AC01;clotrimazole
MD01AC02;miconazole
MD01AC03;econazole
MD01AC04;clomidazole
MD01AC05;isoconazole
MD01AC06;thiabendazole
MD01AC07;tioconazole
MD01AC08;ketoconazole
MD01AC09;sulconazole
MD01AC10;bifonazole
MD01AC11;oxiconazole
MD01AC12;fenticonazole
MD01AC13;omoconazole
MD01AC14;sertaconazole
MD01AC15;fluconazole
MD01AC16;flutrimazole
MD01AC17;eberconazole
MD01AC18;luliconazole
MD01AC19;efinaconazole
MD01AC20;imidazoles/triazoles in combination with corticosteroids
MD01AC21;neticonazole
MD01AC22;lanoconazole
MD01AC52;miconazole, combinations
MD01AC60;bifonazole combinations
MD01AE;other fungicides for external use
MD01AE01;bromochlorosalicylanilide
MD01AE02;methylrosaniline
MD01AE03;tribromometacresol
MD01AE04;undecylenic acid
MD01AE05;polynoxylin
MD01AE06;2-(4-chlorophenoxy)-ethanol
MD01AE07;chlorphenesin
MD01AE08;ticlaton
MD01AE09;sulbentine
MD01AE10;ethylhydroxybenzoate
MD01AE11;haloprogin
MD01AE12;salicylic acid
MD01AE13;selenium sulfide
MD01AE14;ciclopirox
MD01AE15;terbinafine
MD01AE16;amorolphine
MD01AE17;dimazole
MD01AE18;tolnaftate
MD01AE19;tolciclate
MD01AE20;combinations of other fungicides for external use
MD01AE21;flucytosine
MD01AE22;naphthyfine
MD01AE23;butenafine
MD01AE24;tavaborole
MD01AE25;liranaftate
MD01AE54;undecylenic acid, comb.
MD01B;fungicides for systemic use
MD01BA;fungicides for systemic use
MD01BA01;griseofulvin
MD01BA02;terbinafine
MD01BA03;fosravuconazole
MD02;emollients and skin protectants
MD02A;emollients and skin protectants
MD02AA;silicone preparations
MD02AB;zinc oxide preparations
MD02AC;vaseline and fats
MD02AD;liquid plaster
MD02AE;carbamide preparations
MD02AE01;carbamide
MD02AE51;carbamide, comb.
MD02AF;salicylic acid preparations
MD02AX;other emollients and skin protectants
MD02B;UV protection agents
MD02BA;UV radiation protective agents, external use
MD02BA01;aminobenzoic acid
MD02BA02;octinoxate
MD02BB;UV radiation protective agents, systemic use
MD02BB01;betacarotene
MD02BB02;afamelanotide
MD03;wound treatment agents
MD03A;wound healing agents
MD03AA;liver transalver
MD03AX;other wound healing agents
MD03AX01;cadexomer iodine
MD03AX02;dextranomer
MD03AX03;dexpanthenol
MD03AX04;calcium pantothenate
MD03AX05;hyaluronic acid
MD03AX06;becaplermin
MD03AX09;crilanomer
MD03AX10;enoxolon
MD03AX11;sodium chlorite
MD03AX12;trolamine
MD03AX13;birch bark
MD03AX14;asian centella herb, incl. combinations
MD03AX15;trafermin
MD03AX16;beremagen geperpavec
MD03AX17;diperoxochloric acid
MD03B;enzymes
MD03BA;proteolytic enzymes
MD03BA01;trypsin
MD03BA02;collagenase
MD03BA03;bromelains
MD03BA52;collagenase, combinations
MD04;antipruritic agents, incl. antihistamines, anesthetics, etc.
MD04A;antipruritic agents, incl. antihistamines, anesthetics, etc.
MD04AA;antihistamines for dermatological use
MD04AA01;thonzylamine
MD04AA02;mepyramine
MD04AA03;thenalidine
MD04AA04;tripelennamine
MD04AA09;chloropyramine
MD04AA10;promethazine
MD04AA12;tolpropamine
MD04AA13;dimethindene
MD04AA14;clemastine
MD04AA15;bamipin
MD04AA16;pheniramine
MD04AA22;isothipendyl
MD04AA32;diphenhydramine
MD04AA33;diphenhydramine methyl bromide
MD04AA34;chlorphenoxamine
MD04AB;local anesthetics for dermatological use
MD04AB01;lidocaine
MD04AB02;cinchocaine
MD04AB03;oxybuprocaine
MD04AB04;benzocaine
MD04AB05;quinisocaine
MD04AB06;tetracaine
MD04AB07;pramocaine
MD04AX;other antipruritic agents
MD04AX01;doxepin
MD05;anti-psoriasis drugs
MD05A;anti-psoriasis agents for external use
MD05AA;tar-containing preparations
MD05AC;anthracene derivatives
MD05AC01;dithranol
MD05AC51;dithranol, combinations
MD05AD;psoralens for topical use
MD05AD01;trioxysalen, topical
MD05AD02;methoxalene, topical
MD05AX;other antipsoriasis agents for external use
MD05AX01;fumaric acid
MD05AX02;calcipotriol
MD05AX03;calcitriol
MD05AX04;tacalcitol
MD05AX05;tazarotene
MD05AX06;roflumilast
MD05AX07;tapinarof
MD05AX52;calcipotriol, combinations
MD05AX55;tazarotene and ulobetasol
MD05B;antipsoriasis agents for systemic use
MD05BA;psoralens for systemic use
MD05BA01;trioxysalen, systemic
MD05BA02;methoxalene, systemic
MD05BA03;bergapten
MD05BB;retinoids for psoriasis treatment
MD05BB01;etretinate
MD05BB02;acitretin
MD05BX;other antipsoriasis agents for systemic use
MD05BX01;fumaric acid
MD05BX51;fumaric acid derivatives, comb.
MD06;antibiotics and chemotherapeutics for dermatological use
MD06A;antibiotics for external use
MD06AA;tetracycline and derivatives
MD06AA01;demeclocycline
MD06AA02;chlortetracycline
MD06AA03;oxytetracycline
MD06AA04;tetracycline
MD06AX;other antibiotics for external use
MD06AX01;fusidic acid
MD06AX02;chloramphenicol
MD06AX04;neomycin
MD06AX05;bacitracin
MD06AX07;gentamicin
MD06AX08;tyrothricin
MD06AX09;mupirocin
MD06AX10;virginiamycin
MD06AX11;rifaximin
MD06AX12;amikacin
MD06AX13;retapamulin
MD06AX14;ozenoxacin
MD06AX15;rifamycin
MD06B;chemotherapeutics for external use
MD06BA;sulfonamides
MD06BA01;silver sulfadiazine
MD06BA02;sulfathiazole
MD06BA03;mafenide
MD06BA04;sulfamethizole
MD06BA05;sulfanilamide
MD06BA06;sulfamerazine
MD06BA51;silver sulfadiazine, combinations
MD06BB;antiviral agents
MD06BB01;idoxuridine
MD06BB02;tromantadine
MD06BB03;acyclovir
MD06BB04;podophyllotoxin
MD06BB05;inosine
MD06BB06;penciclovir
MD06BB07;lysozyme
MD06BB08;ibacitabine
MD06BB09;edoxudin
MD06BB10;imiquimod
MD06BB11;docosanol
MD06BB12;sinecatechins
MD06BB13;sodium berdazim
MD06BB53;aciclovir, combinations
MD06BX;other chemotherapeutic agents
MD06BX01;metronidazole
MD06BX02;ingenol mebutate
MD06BX03;tirbanibulin
MD06C;antibiotics and chemotherapeutics in combination
MD07;corticosteroids for dermatological use
MD07A;corticosteroids for topical use, uncompounded
MD07AA;corticosteroids, weakly acting (group I)
MD07AA01;methylprednisolone
MD07AA02;hydrocortisone
MD07AA03;prednisolone
MD07AB;corticosteroids, intermediate-acting (group II)
MD07AB01;clobetasone
MD07AB02;hydrocortisone butyrate
MD07AB03;flumethasone
MD07AB04;fluocortin
MD07AB05;fluperolone
MD07AB06;fluorometholone
MD07AB07;fluprednide
MD07AB08;desonide
MD07AB09;triamcinolone
MD07AB10;alclometasone
MD07AB11;hydrocortisone buteprat
MD07AB19;dexamethasone
MD07AB21;clocortolone
MD07AB30;combinations of corticosteroids
MD07AC;corticosteroids, potent (group III)
MD07AC01;betamethasone
MD07AC02;fluclorolon
MD07AC03;desoximetasone
MD07AC04;fluocinolone
MD07AC05;fluocortolone
MD07AC06;diflucortolone
MD07AC07;fludroxycortide
MD07AC08;fluocinonide
MD07AC09;budesonide
MD07AC10;diflorasone
MD07AC11;amcinonide
MD07AC12;halometasone
MD07AC13;mometasone
MD07AC14;methylprednisolone aceponate
MD07AC15;beclometasone
MD07AC16;hydrocortisone aceponate
MD07AC17;fluticasone
MD07AC18;prednicarbate
MD07AC19;difluprednate
MD07AC21;ulobetasol
MD07AD;corticosteroids, extra potent (group IV)
MD07AD01;clobetasol
MD07AD02;halcinonide
MD07B;corticosteroids in combination with antiseptics
MD07BA;corticosteroids (group I) and antiseptics
MD07BA01;prednisolone and antiseptics
MD07BA04;hydrocortisone and antiseptics
MD07BB;corticosteroids (group II) and antiseptics
MD07BB01;flumethasone and antiseptics
MD07BB02;desonide and antiseptics
MD07BB03;triamcinolone and antiseptics
MD07BB04;hydrocortisone butyrate and antiseptics
MD07BC;corticosteroids (group III) and antiseptics
MD07BC01;betamethasone and antiseptics
MD07BC02;fluocinolone and antiseptics
MD07BC03;fluocortolone and antiseptics
MD07BC04;diflucortolone and antiseptics
MD07BD;corticosteroids (group IV) and antiseptics
MD07C;corticosteroids in combination with antibiotics
MD07CA;corticosteroids (group I) and antibiotics
MD07CA01;hydrocortisone and antibiotics
MD07CA02;methylprednisolone and antibiotics
MD07CA03;prednisolone and antibiotics
MD07CB;corticosteroids (group II) and antibiotics
MD07CB01;triamcinolone and antibiotics
MD07CB02;fluprednidine and antibiotics
MD07CB03;fluorometholone and antibiotics
MD07CB04;dexamethasone and antibiotics
MD07CB05;flumethasone and antibiotics
MD07CC;corticosteroids (group III) and antibiotics
MD07CC01;betamethasone and antibiotics
MD07CC02;fluocinolone and antibiotics
MD07CC03;fludroxycortide and antibiotics
MD07CC04;beclomethasone and antibiotics
MD07CC05;fluocinonide and antibiotics
MD07CC06;fluocortolone and antibiotics
MD07CD;corticosteroids (group IV) and antibiotics
MD07CD01;clobetasol and antibiotics
MD07X;corticosteroids, other combinations
MD07XA;corticosteroids (group I), other combinations
MD07XA01;hydrocortisone
MD07XA02;prednisolone
MD07XB;corticosteroids (group II), other combinations
MD07XB01;flumethasone
MD07XB02;triamcinolone
MD07XB03;flupredniden
MD07XB04;fluorometholone
MD07XB05;dexamethasone
MD07XB30;combinations of corticosteroids
MD07XC;corticosteroids (group III), other combinations
MD07XC01;betamethasone
MD07XC02;desoximetasone
MD07XC03;mometasone
MD07XC04;biphenylol
MD07XC05;fluocortolone
MD07XD;corticosteroids (group IV), other combinations
MD08;antiseptics and disinfectants
MD08A;antiseptics and disinfectants
MD08AA;acridine derivatives
MD08AA01;ethacridine lactate
MD08AA02;aminoacridine
MD08AA03;euflavin
MD08AB;aluminum compounds
MD08AC;biguanides and amidines
MD08AC01;dibromopropamidine
MD08AC02;chlorhexidine
MD08AC03;propamidine
MD08AC04;hexamidine
MD08AC05;polyhexanide
MD08AC52;chlorhexidine, combinations
MD08AD;boric acid preparations
MD08AE;phenol and derivatives
MD08AE01;hexachlorophene
MD08AE02;metacresol sulfonic acid formaldehyde
MD08AE03;phenol
MD08AE04;triclosan
MD08AE05;chloroxylenol
MD08AE06;biphenylol
MD08AF;furan derivatives
MD08AF01;nitrofural
MD08AG;iodine preparations
MD08AG01;iodine/octylphenoxypolyglycol ether
MD08AG02;iodine/polyvidone
MD08AG03;iodine
MD08AG04;diiodohydroxypropane
MD08AH;quinoline derivatives
MD08AH01;dequalinium
MD08AH02;chlorquinaldol
MD08AH03;oxyquinoline
MD08AH30;clioquinol
MD08AJ;quaternary ammonium compounds
MD08AJ01;benzalcone
MD08AJ02;cetrimon
MD08AJ03;cetylpyridine
MD08AJ04;cetrimide
MD08AJ05;benzoxonium chloride
MD08AJ06;didecyldimethylammonium chloride
MD08AJ08;benzethonium chloride
MD08AJ10;decamethoxin
MD08AJ57;octenidine, comb.
MD08AJ58;Benzetonium chloride, comp.
MD08AJ59;dodeclonium bromide, comp.
MD08AK;mercury compounds
MD08AK01;mercuriamidochloride
MD08AK02;phenyl mercuriborate
MD08AK03;mercuric chloride
MD08AK04;merbromine
MD08AK05;mercury, metallic
MD08AK06;thiomersal
MD08AK30;mercury iodide
MD08AL;silver compounds
MD08AL01;silver nitrate
MD08AL30;silver
MD08AX;other antiseptics and disinfectants
MD08AX01;hydrogen peroxide
MD08AX02;eosin
MD08AX03;propanol
MD08AX04;tosylchloramide sodium
MD08AX05;isopropanol
MD08AX06;potassium permanganate
MD08AX07;sodium hypochlorite
MD08AX08;ethanol
MD08AX53;propanol, comb.
MD09;medical dressings
MD09A;medical dressings
MD09AA;ointment compresses with anti-infectives
MD09AA01;framycetin
MD09AA02;fusidic acid
MD09AA03;nitrofural
MD09AA04;phenyl mercuric nitrate
MD09AA05;benzododecine
MD09AA06;triclosan
MD09AA07;cetylpyridine
MD09AA08;aluminum chloride hydrate
MD09AA09;povidone-iodine
MD09AA10;clioquinol
MD09AA11;benzalcone
MD09AA12;chlorhexidine
MD09AA13;iodoform
MD09AB;zinc bandages
MD09AB01;zinc bandage without additives
MD09AB02;zinc bandage with additives
MD09AX;vaseline compresses
MD10;anti-acne drugs
MD10A;anti-acne preparations for external use
MD10AA;corticosteroids, combinations for acne treatment
MD10AA01;fluorometholone
MD10AA02;methylprednisolone
MD10AA03;dexamethasone
MD10AB;sulfur-containing acne remedies
MD10AB01;bithionol
MD10AB02;sulfur
MD10AB03;thioxolone
MD10AB05;mesulfen
MD10AD;retinoids for topical use against acne
MD10AD01;tretinoin
MD10AD02;retinol
MD10AD03;adapalene
MD10AD04;isotretinoin
MD10AD05;motretinide
MD10AD06;trifaroten
MD10AD51;tretinoin, comb.
MD10AD53;adapalen, combinations
MD10AD54;isotretinoin, comb.
MD10AE;peroxides
MD10AE01;benzoyl peroxide
MD10AE51;benzoyl peroxide, comp.
MD10AF;anti-infectives for acne treatment
MD10AF01;clindamycin
MD10AF02;erythromycin
MD10AF03;chloramphenicol
MD10AF04;meclocycline
MD10AF05;nadifloxacin
MD10AF06;sulfacetamide
MD10AF07;minocycline
MD10AF51;clindamycin, comb.
MD10AF52;erythromycin, combinations
MD10AX;other anti-acne products for external use
MD10AX01;aluminum chloride
MD10AX02;resorcinol
MD10AX03;azelaic acid
MD10AX04;aluminum oxide
MD10AX05;dapsone
MD10AX06;clascoteron
MD10AX30;various combinations including other topical anti-acne agents
MD10B;anti-acne agents for systemic use
MD10BA;retinoids for the treatment of acne
MD10BA01;isotretinoin
MD10BX;other anti-acne agents for systemic use
MD10BX01;ichthammol
MD11;other dermatological agents
MD11A;other dermatological agents
MD11AA;antihidrotics
MD11AA01;glycopyrronium
MD11AA02;sofpyronium bromide
MD11AC;medicated shampoo
MD11AC01;cetrimide
MD11AC02;cadmium compounds
MD11AC03;selenium compounds
MD11AC06;iodine/polyvidone
MD11AC08;sulfur compounds
MD11AC09;xeny salad
MD11AC30;medical shampoo, other
MD11AE;androgens for topical use
MD11AE01;methandienone
MD11AF;remedies against warts and corns
MD11AH;dermatitis drugs, excl. corticosteroids
MD11AH01;tacrolimus
MD11AH02;pimecrolimus
MD11AH03;cromoglycic acid
MD11AH04;alitretinoin
MD11AH05;dupilumab
MD11AH06;crisaborole
MD11AH07;tralokinumab
MD11AH08;abrocitinib
MD11AH09;ruxolitinib
MD11AH10;lebrikizumab
MD11AH11;delgocitinib
MD11AH12;nemolizumab
MD11AX;other dermatological agents
MD11AX01;minoxidil, topical
MD11AX02;gamolenic acid
MD11AX03;calcium gluconate
MD11AX04;lithium succinate
MD11AX05;magnesium sulfate
MD11AX06;mequinol
MD11AX08;tiratricol
MD11AX09;oxaceprol
MD11AX10;finasteride
MD11AX11;hydroquinone
MD11AX12;zinc pyrithione
